title,publication_date,year,language,type,platform,local_url,original_url
戦後の反基地運動再訪――「砂川闘争」回想記事（2）,2024-01-12T12:16:56+09:00,2024,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12836277588.html,https://ameblo.jp/2021fukuoka-ameba/entry-12836277588.html
「砂川事件」国家賠償訴訟原告弁護団・武内更一弁護士講演概要,2023-12-20T12:57:31+09:00,2023,ja,lawsuit,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12833268280.html,https://ameblo.jp/2021fukuoka-ameba/entry-12833268280.html
リンク集 2023年12月（「砂川闘争」の過去形と現在進行形）,2023-12-11T12:59:40+09:00,2023,ja,links,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12831179913.html,https://ameblo.jp/2021fukuoka-ameba/entry-12831179913.html
12月8日に思うこと――東大和市「戦災変電所」見学レポート,2023-12-08T03:00:00+09:00,2023,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12831113453.html,https://ameblo.jp/2021fukuoka-ameba/entry-12831113453.html
戦後の反基地運動再訪――「砂川闘争」回想記事（1）,2023-11-29T22:50:49+09:00,2023,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12830603143.html,https://ameblo.jp/2021fukuoka-ameba/entry-12830603143.html
11.23 国会正門前アクション即日フォトレポート,2023-11-23T16:54:12+09:00,2023,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12829791573.html,https://ameblo.jp/2021fukuoka-ameba/entry-12829791573.html
砂川平和しみんゼミナール実績一覧　2021年5月～2023年10月,2023-11-17T15:31:23+09:00,2023,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12829017841.html,https://ameblo.jp/2021fukuoka-ameba/entry-12829017841.html
リンク集 2023年11月（反基地・平和 メイン･イベント）,2023-11-11T00:29:04+09:00,2023,ja,links,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12827034744.html,https://ameblo.jp/2021fukuoka-ameba/entry-12827034744.html
10.29 横田市民交流集会　レポート,2023-11-02T21:03:41+09:00,2023,ja,gathering,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12827081091.html,https://ameblo.jp/2021fukuoka-ameba/entry-12827081091.html
10.29（日）横田 市民交流 集会　,2023-10-27T19:24:07+09:00,2023,ja,gathering,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12825953044.html,https://ameblo.jp/2021fukuoka-ameba/entry-12825953044.html
内灘訪問記「風と砂の館」フォトレポート,2023-10-25T01:04:06+09:00,2023,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12825891830.html,https://ameblo.jp/2021fukuoka-ameba/entry-12825891830.html
リンク集 2023年10月（医療的観点からのPFAS問題）,2023-10-19T12:07:40+09:00,2023,ja,links,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12825143936.html,https://ameblo.jp/2021fukuoka-ameba/entry-12825143936.html
10.14「多摩の水汚染を考える」即日レポート,2023-10-14T23:35:56+09:00,2023,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12824543953.html,https://ameblo.jp/2021fukuoka-ameba/entry-12824543953.html
10.14㈯ 集会「多摩の水汚染を考える」ﾌﾟﾛｸﾞﾗﾑ,2023-10-04T17:26:57+09:00,2023,ja,gathering,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12823163494.html,https://ameblo.jp/2021fukuoka-ameba/entry-12823163494.html
『九月、東京の路上で』,2023-09-27T10:13:47+09:00,2023,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12821873052.html,https://ameblo.jp/2021fukuoka-ameba/entry-12821873052.html
関東大震災から100年「夢二の新聞連載ルポ」,2023-09-23T23:18:20+09:00,2023,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12821338191.html,https://ameblo.jp/2021fukuoka-ameba/entry-12821338191.html
砂川平和ひろば主催 10.14集会　　　　　　　　「多摩の水汚染を考える」　チラシ完成,2023-09-14T13:05:20+09:00,2023,ja,gathering,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12820410904.html,https://ameblo.jp/2021fukuoka-ameba/entry-12820410904.html
砂川事件 国賠訴訟 9.11 傍聴レポートーーまさかの裁判長交代！,2023-09-12T23:31:17+09:00,2023,ja,lawsuit,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12820191407.html,https://ameblo.jp/2021fukuoka-ameba/entry-12820191407.html
砂川事件 国賠訴訟 最終弁論 ９月11日㈪ 午後２時～,2023-09-07T15:44:54+09:00,2023,ja,lawsuit,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12819476136.html,https://ameblo.jp/2021fukuoka-ameba/entry-12819476136.html
リンク集 2023年９月（関東大震災から100年―「虐殺」の記憶と忘却）,2023-09-04T10:17:49+09:00,2023,ja,links,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12818749170.html,https://ameblo.jp/2021fukuoka-ameba/entry-12818749170.html
反基地運動の戦後史――清水幾太郎と内灘・砂川,2023-08-25T12:02:13+09:00,2023,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12815656655.html,https://ameblo.jp/2021fukuoka-ameba/entry-12815656655.html
リンク集 2023年8月（砂川・新潟の交流と共闘）,2023-08-17T20:46:40+09:00,2023,ja,links,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12816660549.html,https://ameblo.jp/2021fukuoka-ameba/entry-12816660549.html
「米軍立川基地拡張反対運動の再検討」終章,2023-04-29T21:54:48+09:00,2023,ja,guide,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12800793306.html,https://ameblo.jp/2021fukuoka-ameba/entry-12800793306.html
「砂川平和ひろば通信」バックナンバー 2021年夏号（No.４),2023-04-21T22:08:19+09:00,2023,ja,newsletter,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12799674945.html,https://ameblo.jp/2021fukuoka-ameba/entry-12799674945.html
東京多摩地区の4市　市議選でPFAS汚染問題言及,2023-04-19T13:05:47+09:00,2023,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12799297177.html,https://ameblo.jp/2021fukuoka-ameba/entry-12799297177.html
リンク集 2023年４月 (基地問題とPFAS汚染）,2023-04-11T14:49:24+09:00,2023,ja,links,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12798009383.html,https://ameblo.jp/2021fukuoka-ameba/entry-12798009383.html
オスプレイ反対 2.1統一行動 フォトレポート,2023-02-01T23:30:03+09:00,2023,ja,gathering,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12787210957.html,https://ameblo.jp/2021fukuoka-ameba/entry-12787210957.html
リンク集　2023年1月（オスプレイ／基地問題）,2023-01-30T23:24:50+09:00,2023,ja,links,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12786163402.html,https://ameblo.jp/2021fukuoka-ameba/entry-12786163402.html
オスプレイ立川基地飛来反対！ 2.1 統一行動,2023-01-28T23:30:47+09:00,2023,ja,gathering,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12786563478.html,https://ameblo.jp/2021fukuoka-ameba/entry-12786563478.html
オスプレイが来る！ 立川の市民団体 再度申入れ,2023-01-27T22:04:02+09:00,2023,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12786394579.html,https://ameblo.jp/2021fukuoka-ameba/entry-12786394579.html
オスプレイが来る！立川市HPに「飛来内容」掲載,2023-01-26T13:00:15+09:00,2023,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12786157649.html,https://ameblo.jp/2021fukuoka-ameba/entry-12786157649.html
砂川事件裁判国賠訴訟 第11回口頭弁論2023.1.23レポート,2023-01-24T22:11:25+09:00,2023,ja,lawsuit,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12785913501.html,https://ameblo.jp/2021fukuoka-ameba/entry-12785913501.html
砂川国賠訴訟 第11回口頭弁論 2023年1月23日㈪,2023-01-18T11:04:11+09:00,2023,ja,lawsuit,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12784860121.html,https://ameblo.jp/2021fukuoka-ameba/entry-12784860121.html
くにたちの空をオスプレイが飛ぶ！？　緊急報告集会(2023.1.14改訂）,2023-01-11T12:01:32+09:00,2023,ja,gathering,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12783652948.html,https://ameblo.jp/2021fukuoka-ameba/entry-12783652948.html
Doctoral Dissertation by TAKAHARA Taichi　（2）,2023-01-10T11:56:54+09:00,2023,en,guide,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12783574131.html,https://ameblo.jp/2021fukuoka-ameba/entry-12783574131.html
「砂川平和ひろば通信」バックナンバー 2020年春号(No.1),2023-01-05T19:32:30+09:00,2023,ja,newsletter,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12782813557.html,https://ameblo.jp/2021fukuoka-ameba/entry-12782813557.html
「砂川事件」から65年――国賠訴訟の現状,2022-12-31T21:16:57+09:00,2022,ja,lawsuit,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12781923759.html,https://ameblo.jp/2021fukuoka-ameba/entry-12781923759.html
